epoch,step,loss_total,wall_ms
1,1,0.884465,460.6
1,2,0.627025,133.5
1,3,0.451035,69.0
1,4,0.365357,68.9
1,5,0.339906,68.8
1,6,0.325784,68.9
1,7,0.313348,72.8
2,8,0.258894,70.0
2,9,0.232256,68.6
2,10,0.238501,134.0
2,11,0.210444,133.1
2,12,0.216202,69.3
2,13,0.205267,73.9
2,14,0.188301,17.7
3,15,0.162592,68.7
3,16,0.158192,25.4
3,17,0.168097,34.4
3,18,0.162657,134.1
3,19,0.132605,30.6
3,20,0.141698,68.8
3,21,0.145462,134.4
4,22,0.123403,68.6
4,23,0.114773,25.3
4,24,0.122423,36.9
4,25,0.123039,138.2
4,26,0.109474,68.8
4,27,0.109587,69.1
4,28,0.106056,68.5
5,29,0.105792,31.6
5,30,0.090104,68.8
5,31,0.104768,134.3
5,32,0.089070,68.8
5,33,0.100681,68.9
5,34,0.111415,20.8
5,35,0.089486,69.2
6,36,0.088762,68.6
6,37,0.087323,68.8
6,38,0.082245,68.9
6,39,0.084491,133.9
6,40,0.077487,27.8
6,41,0.075154,133.4
6,42,0.078184,68.9
7,43,0.066286,69.0
7,44,0.082570,68.7
7,45,0.077917,27.0
7,46,0.074715,133.9
7,47,0.071332,68.7
7,48,0.089159,69.0
7,49,0.064703,32.5
8,50,0.079049,68.8
8,51,0.070017,134.4
8,52,0.069865,69.2
8,53,0.075289,21.3
8,54,0.058353,34.3
8,55,0.063879,68.8
8,56,0.064765,69.2
9,57,0.065507,69.4
9,58,0.061807,69.2
9,59,0.060178,28.8
9,60,0.055286,68.7
9,61,0.059845,68.7
9,62,0.057731,74.6
9,63,0.057732,68.6
10,64,0.046111,27.8
10,65,0.049764,69.6
10,66,0.055931,134.7
10,67,0.053804,69.3
10,68,0.058005,134.2
10,69,0.048961,68.6
10,70,0.067786,68.5
11,71,0.046518,133.7
11,72,0.047638,69.5
11,73,0.049988,69.2
11,74,0.048655,69.7
11,75,0.054603,134.3
11,76,0.055538,22.1
11,77,0.050028,70.0
12,78,0.056529,70.6
12,79,0.040956,68.7
12,80,0.048782,34.6
12,81,0.053431,68.9
12,82,0.040245,69.0
12,83,0.049581,134.0
12,84,0.057179,28.9
13,85,0.054547,72.5
13,86,0.048406,68.8
13,87,0.048151,69.9
13,88,0.042982,68.9
13,89,0.046161,27.7
13,90,0.050427,68.6
13,91,0.048184,133.6
14,92,0.049029,30.0
14,93,0.038983,69.3
14,94,0.038033,26.0
14,95,0.039476,33.9
14,96,0.047995,133.8
14,97,0.040745,28.3
14,98,0.044927,68.9
15,99,0.047972,37.4
15,100,0.048659,69.1
15,101,0.048147,68.6
15,102,0.046829,68.5
15,103,0.040308,69.0
15,104,0.038664,30.5
15,105,0.034824,68.9
16,106,0.055670,133.7
16,107,0.052109,69.3
16,108,0.039207,68.8
16,109,0.043104,133.7
16,110,0.050993,69.2
16,111,0.037681,29.9
16,112,0.070336,68.7
17,113,0.040646,68.9
17,114,0.037784,69.2
17,115,0.062341,68.6
17,116,0.052941,21.9
17,117,0.042575,29.1
17,118,0.048344,68.8
17,119,0.041470,68.5
18,120,0.041876,68.6
18,121,0.035718,69.0
18,122,0.046390,68.8
18,123,0.037161,68.6
18,124,0.035463,68.7
18,125,0.040181,69.2
18,126,0.035356,29.2
19,127,0.051083,30.9
19,128,0.042295,68.7
19,129,0.041929,133.4
19,130,0.047039,72.6
19,131,0.040681,68.8
19,132,0.058308,133.6
19,133,0.038216,30.1
20,134,0.037533,69.0
20,135,0.036413,133.6
20,136,0.035379,68.5
20,137,0.041385,68.7
20,138,0.045185,133.7
20,139,0.039081,69.2
20,140,0.037083,69.9
21,141,0.038901,69.0
21,142,0.031673,69.0
21,143,0.038949,68.9
21,144,0.042831,27.7
21,145,0.051176,68.7
21,146,0.041017,137.2
21,147,0.036747,135.1
22,148,0.033021,69.4
22,149,0.036036,28.9
22,150,0.033875,68.5
22,151,0.037081,133.7
22,152,0.038661,69.6
22,153,0.036838,27.4
22,154,0.037168,134.1
23,155,0.034695,69.1
23,156,0.040977,69.0
23,157,0.036876,29.4
23,158,0.046418,68.8
23,159,0.039045,68.8
23,160,0.037915,133.6
23,161,0.028861,27.6
24,162,0.034808,69.1
24,163,0.033812,69.2
24,164,0.039493,29.3
24,165,0.037232,28.5
24,166,0.038575,68.6
24,167,0.038572,134.3
24,168,0.040166,27.3
25,169,0.036204,32.8
25,170,0.040836,29.9
25,171,0.038564,133.9
25,172,0.028143,32.3
25,173,0.030780,68.8
25,174,0.031763,34.2
25,175,0.040987,134.6
26,176,0.035627,133.8
26,177,0.037064,70.1
26,178,0.036392,69.0
26,179,0.033854,68.9
26,180,0.047384,32.2
26,181,0.033145,69.9
26,182,0.035484,33.2
27,183,0.027777,69.1
27,184,0.045980,69.1
27,185,0.035500,75.5
27,186,0.034244,33.5
27,187,0.030755,68.9
27,188,0.033238,35.1
27,189,0.044126,68.7
28,190,0.034588,68.6
28,191,0.026588,68.5
28,192,0.044282,134.6
28,193,0.035933,134.2
28,194,0.039023,68.9
28,195,0.035024,29.0
28,196,0.027546,34.6
29,197,0.031520,68.9
29,198,0.031030,37.6
29,199,0.034089,69.1
29,200,0.036875,68.9
29,201,0.034766,68.9
29,202,0.035406,134.3
29,203,0.039540,69.0
30,204,0.036347,68.5
30,205,0.040084,68.8
30,206,0.025759,28.5
30,207,0.024876,70.1
30,208,0.028292,36.1
30,209,0.032278,68.6
30,210,0.034405,70.1
31,211,0.025149,30.2
31,212,0.031372,69.7
31,213,0.038102,68.5
31,214,0.032668,68.7
31,215,0.034948,68.6
31,216,0.033461,134.0
31,217,0.027236,134.0
32,218,0.044634,134.1
32,219,0.037787,68.7
32,220,0.030898,68.9
32,221,0.034466,133.8
32,222,0.032560,68.8
32,223,0.033434,28.6
32,224,0.025975,26.8
33,225,0.028169,68.5
33,226,0.046542,69.7
33,227,0.026505,69.9
33,228,0.040374,77.5
33,229,0.027012,29.6
33,230,0.033915,30.4
33,231,0.031115,68.9
34,232,0.028347,27.5
34,233,0.030576,68.9
34,234,0.027922,23.7
34,235,0.037310,133.8
34,236,0.025428,68.5
34,237,0.035813,68.6
34,238,0.043304,134.2
35,239,0.024895,31.2
35,240,0.031217,68.7
35,241,0.026079,27.7
35,242,0.032974,69.0
35,243,0.036988,69.0
35,244,0.039293,68.5
35,245,0.035156,68.8
36,246,0.035695,71.2
36,247,0.032094,68.7
36,248,0.033244,134.8
36,249,0.031891,133.8
36,250,0.045144,134.1
36,251,0.031196,135.4
36,252,0.031667,25.5
37,253,0.026898,26.4
37,254,0.040536,68.8
37,255,0.026209,68.7
37,256,0.034467,74.4
37,257,0.037814,69.3
37,258,0.031720,30.5
37,259,0.032698,69.6
38,260,0.028179,33.3
38,261,0.028958,30.2
38,262,0.028707,133.4
38,263,0.030178,68.5
38,264,0.028684,70.1
38,265,0.036940,68.9
38,266,0.037004,69.3
39,267,0.027169,69.0
39,268,0.029186,68.9
39,269,0.032978,69.2
39,270,0.027799,68.8
39,271,0.026165,133.9
39,272,0.032368,68.8
39,273,0.035713,133.6
40,274,0.035153,68.8
40,275,0.033478,134.3
40,276,0.028799,28.5
40,277,0.032407,133.9
40,278,0.029214,24.9
40,279,0.025140,69.0
40,280,0.029846,31.6
41,281,0.026013,25.8
41,282,0.028659,26.3
41,283,0.032755,31.8
41,284,0.024050,28.7
41,285,0.025001,69.0
41,286,0.033876,40.8
41,287,0.031694,31.7
42,288,0.028372,68.4
42,289,0.028535,69.5
42,290,0.043170,68.5
42,291,0.039317,134.0
42,292,0.028333,68.4
42,293,0.029706,68.9
42,294,0.031367,68.6
43,295,0.041263,134.0
43,296,0.027933,68.9
43,297,0.031715,133.9
43,298,0.032999,134.0
43,299,0.033926,133.6
43,300,0.025547,28.1
43,301,0.039112,35.8
44,302,0.028704,133.8
44,303,0.031970,134.0
44,304,0.033471,133.9
44,305,0.025015,68.9
44,306,0.031912,28.6
44,307,0.028520,25.5
44,308,0.031534,133.5
45,309,0.021391,23.2
45,310,0.033196,133.6
45,311,0.030239,68.4
45,312,0.025089,27.8
45,313,0.024527,69.2
45,314,0.033314,134.1
45,315,0.025465,68.5
46,316,0.032103,69.0
46,317,0.025771,68.9
46,318,0.031882,134.5
46,319,0.033109,68.8
46,320,0.026134,69.4
46,321,0.027981,69.7
46,322,0.027311,27.9
47,323,0.027412,69.0
47,324,0.031778,69.0
47,325,0.032353,134.1
47,326,0.026409,76.7
47,327,0.024115,38.5
47,328,0.023673,135.5
47,329,0.028230,133.1
48,330,0.020238,133.4
48,331,0.044997,133.5
48,332,0.031991,68.9
